iter	Logloss
0	0.5918229761
5	0.3499937894
10	0.2879748943
15	0.2679400092
20	0.2608329693
25	0.2575051658
30	0.2558708769
35	0.2550544032
40	0.2544895498
45	0.2540450416
50	0.2536808492
55	0.2532998084
60	0.2530588417
65	0.2527902744
70	0.2525356948
75	0.2523167453
80	0.2521065356
85	0.2519240646
90	0.2516993148
95	0.2515799363
100	0.2513778548
105	0.2511431026
110	0.2509909941
115	0.250880454
120	0.2507622394
125	0.2506116302
130	0.250466624
135	0.2503854797
140	0.2502349298
145	0.250143132
150	0.2500276597
155	0.2499191714
160	0.2498352453
165	0.2497323403
170	0.2496445474
175	0.2495534204
180	0.249454757
185	0.2493504511
190	0.2492526953
195	0.2491685325
200	0.2490639899
205	0.248978091
210	0.2488698394
215	0.2487849861
220	0.248672197
225	0.2485716988
230	0.2484867074
235	0.2484136519
240	0.2483339084
245	0.2482205471
250	0.2481542585
255	0.2480689712
260	0.2479859329
265	0.247922801
270	0.2478436098
275	0.2477547122
280	0.247671595
285	0.2475930944
290	0.247495299
295	0.2473956097
300	0.2473149389
305	0.2472406603
310	0.2471522558
315	0.2470780363
320	0.2469816614
325	0.2469211731
330	0.2468544506
335	0.2467898389
340	0.246723432
345	0.2466598463
350	0.2465844036
355	0.2465116441
360	0.2464375429
365	0.2463579967
370	0.2462766946
375	0.2462161668
380	0.2461405071
385	0.2460939473
390	0.2460316637
395	0.245956655
400	0.2458684479
405	0.245808216
410	0.2457422037
415	0.2456726007
420	0.2456178337
425	0.2455506574
430	0.2454992443
435	0.2454548152
440	0.2453754268
445	0.2453235599
450	0.2452503071
455	0.2451967831
460	0.2451383268
465	0.2450589779
470	0.2449984896
475	0.2449448669
480	0.2449031406
485	0.2448573897
490	0.2448035894
495	0.2447552145
500	0.2447002503
505	0.2446464895
510	0.244580635
515	0.2445339173
520	0.2444599148
525	0.2444035301
530	0.2443405955
535	0.2442846448
540	0.2442167187
545	0.2441094733
550	0.2440473475
555	0.2439976903
560	0.2439214585
565	0.2438781934
570	0.2438231699
575	0.2437890589
580	0.2437255127
585	0.2436854239
590	0.2436202796
595	0.243584689
600	0.2435284621
605	0.2435001316
610	0.2434217494
615	0.2433638061
620	0.2432927037
625	0.2432278751
630	0.2431657098
635	0.2431076876
640	0.2430380452
645	0.2429815618
650	0.2429261438
655	0.242862637
660	0.2428202597
665	0.2427672289
670	0.2427172757
675	0.2426602991
680	0.2425911302
685	0.2425509033
690	0.2424983459
695	0.2424430858
700	0.2424051277
705	0.2423394507
710	0.242286045
715	0.2422478897
720	0.2422127922
725	0.2421564667
730	0.2420953668
735	0.2420483927
740	0.24199913
745	0.2419498082
750	0.241880225
755	0.2418134826
760	0.2417571374
765	0.2417077366
770	0.2416586121
775	0.2416026219
780	0.2415535566
785	0.2414969746
790	0.2414444172
795	0.24139476
800	0.2413332261
805	0.2412706465
810	0.2412207328
815	0.2411764221
820	0.2411262519
825	0.2410933641
830	0.241033665
835	0.2409835934
840	0.2409496995
845	0.2408909473
850	0.2408227451
855	0.2407554898
860	0.2407165255
865	0.2406630409
870	0.2406285157
875	0.2405770828
880	0.2405253936
885	0.2404630508
890	0.2404011617
895	0.240344777
900	0.240310666
905	0.240265645
910	0.2402184539
915	0.2401643972
920	0.2401070655
925	0.2400743355
930	0.2400446438
935	0.2400016351
