iter	Passed	Remaining
0	47	132057
1	97	134661
2	145	133265
3	192	132109
4	234	129217
5	272	124889
6	313	123198
7	361	124219
8	404	123349
9	444	121998
10	482	120516
11	521	119143
12	562	118772
13	602	118068
14	641	117263
15	685	117313
16	722	116438
17	763	116064
18	803	115679
19	842	115227
20	881	114780
21	924	114864
22	968	115132
23	1011	115175
24	1052	114948
25	1090	114514
26	1136	114836
27	1174	114468
28	1214	114202
29	1255	114116
30	1302	114502
31	1343	114331
32	1383	114160
33	1428	114332
34	1471	114360
35	1510	114142
36	1550	113972
37	1589	113722
38	1631	113691
39	1673	113606
40	1719	113896
41	1757	113579
42	1796	113366
43	1833	113000
44	1872	112814
45	1912	112698
46	1957	112808
47	2002	112958
48	2037	112586
49	2080	112586
50	2126	112775
51	2167	112712
52	2210	112725
53	2249	112553
54	2281	112028
55	2316	111692
56	2359	111737
57	2399	111640
58	2441	111613
59	2486	111725
60	2523	111495
61	2567	111540
62	2607	111443
63	2647	111369
64	2694	111542
65	2735	111488
66	2769	111150
67	2808	111031
68	2847	110870
69	2879	110478
70	2916	110283
71	2952	110045
72	2991	109944
73	3031	109866
74	3072	109846
75	3113	109803
76	3150	109625
77	3195	109717
78	3235	109652
79	3269	109370
80	3304	109131
81	3344	109061
82	3383	108977
83	3421	108825
84	3473	109139
85	3511	109021
86	3555	109073
87	3593	108951
88	3635	108945
89	3672	108774
90	3710	108667
91	3751	108617
92	3790	108525
93	3830	108485
94	3874	108536
95	3913	108445
96	3955	108425
97	4006	108670
98	4051	108740
99	4097	108833
100	4143	108929
101	4201	109324
102	4249	109451
103	4294	109520
104	4336	109489
105	4378	109469
106	4420	109441
107	4485	109981
108	4525	109905
109	4566	109839
110	4607	109781
111	4653	109847
112	4711	110200
113	4757	110250
114	4802	110300
115	4843	110233
116	4887	110243
117	4930	110220
118	4974	110233
119	5013	110126
120	5057	110145
121	5099	110106
122	5136	109949
123	5179	109936
124	5221	109906
125	5263	109856
126	5304	109809
127	5348	109821
128	5398	109935
129	5457	110231
130	5505	110322
131	5552	110382
132	5598	110412
133	5647	110500
134	5695	110578
135	5732	110440
136	5777	110442
137	5822	110464
138	5865	110438
139	5904	110336
140	5944	110243
141	5986	110211
142	6027	110142
143	6074	110191
144	6114	110110
145	6158	110096
146	6203	110106
147	6246	110074
148	6290	110068
149	6335	110072
150	6383	110133
151	6429	110152
152	6480	110249
153	6533	110385
154	6581	110436
155	6630	110507
156	6686	110696
157	6731	110688
158	6776	110676
159	6820	110664
160	6871	110762
161	6915	110734
162	6965	110813
163	7014	110859
164	7054	110772
165	7106	110874
166	7151	110876
167	7199	110903
168	7245	110913
169	7290	110901
170	7330	110813
171	7378	110849
172	7420	110789
173	7481	111018
174	7527	111023
175	7570	110974
176	7606	110836
177	7654	110863
178	7698	110830
179	7743	110824
180	7789	110821
181	7832	110773
182	7872	110686
183	7911	110590
184	7963	110666
185	8006	110622
186	8049	110579
187	8088	110487
188	8136	110504
189	8192	110635
190	8243	110700
191	8293	110750
192	8337	110723
193	8381	110692
194	8430	110714
195	8477	110728
196	8525	110743
197	8572	110743
198	8617	110722
199	8669	110790
200	8717	110812
201	8761	110778
202	8812	110834
203	8858	110819
204	8907	110839
205	8952	110823
206	8994	110759
207	9044	110798
208	9100	110900
209	9147	110899
210	9186	110809
211	9228	110742
212	9275	110743
213	9321	110727
214	9366	110702
215	9411	110674
216	9453	110608
217	9494	110537
218	9535	110460
219	9578	110413
220	9618	110330
221	9658	110248
222	9697	110145
223	9740	110100
224	9783	110057
225	9833	110083
226	9875	110017
227	9915	109938
228	9958	109893
229	9998	109810
230	10039	109736
231	10082	109696
232	10129	109687
233	10169	109606
234	10214	109582
235	10253	109481
236	10295	109432
237	10328	109278
238	10370	109215
239	10408	109110
240	10458	109137
241	10506	109141
242	10549	109100
243	10594	109069
244	10634	108987
245	10683	109007
246	10724	108939
247	10770	108922
248	10811	108856
249	10849	108753
250	10886	108646
251	10925	108563
252	10966	108493
253	11011	108463
254	11050	108381
255	11093	108330
256	11132	108245
257	11173	108184
258	11208	108064
259	11246	107963
260	11291	107942
261	11332	107872
262	11373	107807
263	11412	107731
264	11449	107627
265	11493	107585
266	11521	107404
267	11558	107304
268	11598	107227
269	11637	107153
270	11676	107072
271	11717	107009
272	11753	106898
273	11788	106782
274	11832	106749
275	11873	106693
276	11915	106637
277	11943	106461
278	11986	106420
279	12029	106377
280	12070	106311
281	12111	106251
282	12146	106144
283	12181	106026
284	12213	105893
285	12261	105895
286	12305	105860
287	12343	105779
288	12382	105700
289	12413	105557
290	12449	105456
291	12487	105375
292	12521	105255
293	12560	105184
294	12600	105118
295	12644	105086
296	12678	104969
297	12709	104828
298	12744	104728
299	12789	104701
300	12827	104625
301	12865	104542
302	12899	104429
303	12937	104352
304	12977	104289
305	13021	104260
306	13064	104220
307	13106	104169
308	13153	104161
309	13191	104087
310	13231	104021
311	13274	103985
312	13320	103965
313	13368	103966
314	13415	103958
315	13456	103904
316	13497	103849
317	13540	103809
318	13587	103799
319	13626	103730
320	13668	103688
321	13723	103734
322	13771	103733
323	13810	103666
324	13846	103569
325	13886	103506
